state,city,lat,lng,neighbors
Aguascalientes,Aguascalientes,21.885731,-102.326319,"Zacatecas, Jalisco, Guanajuato"
Baja California,Mexicali,32.6137391,-115.5203308,"Sonora, Baja California Sur"
Baja California Sur,La Paz,24.1164209,-110.3727669,Baja California
Campeche,Campeche,19.8305682,-90.5798364,"Yucatán, Quintana Roo, Tabasco"
Chiapas,Tuxtla,16.7459946,-93.1645893,"Tabasco, Oaxaca, Veracruz"
Chihuahua,Chihuahua,28.6709132,-106.134658,"Coahuila de Zaragoza, Durango, Sonora"
Ciudad de México,Mexico City,19.39068,-99.2836971,"Querétaro, Hidalgo, Tlaxcala, Puebla, Morelos, México"
Coahuila de Zaragoza,Saltillo,25.4303723,-101.0532635,"Chihuahua, Durango, Zacatecas, San Luis Potosí, Nuevo León"
Colima,Colima,19.2400444,-103.7636272,"Jalisco, Michoacán de Ocampo"
Durango,Durango,24.0226943,-104.6827442,"Chihuahua, Coahuila de Zaragoza, Zacatecas, Nayarit, Sinaloa"
Guanajuato,Guanajuato,21.0251069,-101.2753897,"San Luis Potosí, Michoacán de Ocampo, Querétaro, Jalisco, Aguascalientes"
Guerrero,Chilpancingo,17.5477072,-99.5324348,"Morelos, Puebla"
Hidalgo,Pachuca,20.0825159,-98.7917974,"Querétaro, Ciudad de México, Tlaxcala"
Jalisco,Guadalajara,20.6737883,-103.3704326,"Nayarit, Aguascalientes, Guanajuato, Michoacán de Ocampo, Colima, San Luis Potosí"
México,Toluca,19.294109,-99.666233,"Ciudad de México, Morelos, Querétaro, Michoacán de Ocampo"
Michoacán de Ocampo,Morelia,19.7036519,-101.2411434,"Jalisco, Guanajuato, Querétaro, México, Colima"
Morelos,Cuernavaca,18.9318783,-99.2755844,"Ciudad de México, México, Guerrero, Puebla"
Nayarit,Tepic,21.5009705,-104.9486637,"Durango, Sinaloa, Jalisco"
Nuevo León,Monterrey,25.6487281,-100.4431802,"Coahuila de Zaragoza, Tamaulipas"
Oaxaca,Oaxaca,17.0812951,-96.770751,"Puebla, Veracruz, Chiapas"
Puebla,Puebla,19.040034,-98.2630052,"Veracruz, Tlaxcala, Ciudad de México, Morelos, Guerrero, Oaxaca"
Querétaro,Querétaro,20.6121228,-100.4802572,"San Luis Potosí, Guanajuato, México, Ciudad de México, Michoacán de Ocampo, Hidalgo"
Quintana Roo,Chetumal,18.5221591,-88.3222882,"Yucatán, Campeche"
San Luis Potosí,San Luis Potosí,22.1127046,-101.0261095,"Coahuila de Zaragoza, Tamaulipas, Zacatecas, Guanajuato, Querétaro, Jalisco"
Sinaloa,Culiacán,24.8049008,-107.493354,"Sonora, Nayarit, Durango"
Sonora,Hermosillo,29.082137,-111.0590266,"Baja California, Sinaloa, Chihuahua"
Tabasco,Villahermosa,17.9925264,-92.9881406,"Campeche, Chiapas, Veracruz"
Tamaulipas,Ciudad Victoria,23.7409928,-99.1783574,"Nuevo León, San Luis Potosí, Veracruz"
Tlaxcala,Tlaxcala,19.4167799,-98.4471055,"Ciudad de México, Hidalgo, Puebla, Veracruz"
Veracruz,Xalapa,19.5420462,-96.9199274,"Tamaulipas, Oaxaca, Chiapas, Puebla, Tabasco, Tlaxcala"
Yucatán,Mérida,20.9800512,-89.7029583,"Quintana Roo, Campeche"
Zacatecas,Zacatecas,22.7636322,-102.606128,"Coahuila de Zaragoza, Aguascalientes, Durango, San Luis Potosí"
